"freq","word1"
1874,"father"
1868,"added"
1866,"near"
1865,"huge"
1865,"six"
1860,"trip"
1859,"drive"
1852,"process"
1849,"ur"
1844,"coffee"
1840,"tuesday"
1830,"spent"
1823,"dont"
1822,"strong"
1822,"wife"
1821,"bill"
1812,"happened"
1796,"longer"
1790,"issue"
1776,"lead"
1774,"points"
1771,"level"
1767,"san"
1766,"march"
1765,"weather"
1762,"round"
1761,"shows"
1760,"shot"
1759,"space"
1756,"blue"
1753,"air"
1752,"ones"
1751,"states"
1750,"america"
1750,"giving"
1748,"among"
1747,"age"
1744,"door"
1737,"dog"
1723,"challenge"
1719,"hold"
1717,"north"
1717,"report"
1709,"clear"
1708,"wonder"
1707,"okay"
1705,"seem"
1700,"major"
1698,"middle"
1697,"general"
1696,"low"
1693,"control"
1693,"finished"
1693,"luck"
1693,"personal"
1692,"dead"
1692,"questions"
1687,"create"
1687,"simply"
1687,"sound"
1683,"west"
1682,"hands"
1682,"jesus"
1677,"lunch"
1674,"war"
1673,"chicago"
1673,"stand"
1666,"worked"
1665,"club"
1663,"record"
1663,"usually"
1662,"band"
1660,"perhaps"
1659,"forget"
1657,"cold"
1646,"style"
1644,"boys"
1642,"field"
1642,"wednesday"
1638,"sad"
1633,"star"
1631,"voice"
1630,"bar"
1629,"above"
1627,"fine"
1626,"met"
1626,"ways"
1620,"cover"
1620,"la"
1611,"issues"
1607,"wine"
1606,"himself"
1605,"energy"
1602,"design"
1594,"gotta"
1589,"per"
1588,"piece"
1588,"sent"
1586,"recently"
1585,"answer"
1585,"followers"
1582,"join"
1582,"simple"
1582,"whatever"
1579,"omg"
1577,"themselves"
1576,"moving"
1574,"husband"
1573,"alone"
1572,"co"
1571,"knows"
1567,"form"
1562,"players"
1560,"brown"
1558,"spend"
1556,"act"
1553,"conference"
1551,"ha"
1551,"save"
1549,"busy"
1543,"cute"
1541,"political"
1540,"plans"
1539,"coach"
1535,"seriously"
1532,"brother"
1532,"dad"
1530,"website"
1527,"heat"
1527,"sun"
1525,"due"
1520,"continue"
1515,"fast"
1514,"director"
1513,"action"
1510,"jobs"
1507,"date"
1506,"non"
1501,"likely"
1500,"cost"
1500,"success"
1500,"totally"
1498,"stories"
1497,"district"
1497,"race"
1496,"career"
1496,"drink"
1496,"step"
1495,"department"
1492,"character"
1490,"dark"
1489,"education"
1488,"mine"
1487,"exactly"
1487,"tax"
1483,"completely"
1478,"fight"
1477,"congrats"
1477,"truth"
1476,"pictures"
1475,"daughter"
1471,"sign"
1470,"text"
1462,"ball"
1456,"ideas"
1455,"listen"
1450,"research"
1445,"dream"
1445,"goal"
1437,"offer"
1435,"brought"
1434,"began"
1434,"oil"
1431,"services"
1430,"recent"
1428,"attention"
1428,"dance"
1426,"price"
1425,"box"
1419,"beat"
1418,"agree"
1416,"federal"
1413,"cup"
1413,"die"
1413,"entire"
1412,"hi"
1411,"missed"
1410,"return"
1408,"etc"
1403,"feet"
1402,"main"
1401,"color"
1400,"nearly"
1393,"schools"
1392,"officials"
1389,"problems"
1388,"choice"
1385,"held"
1385,"kid"
1385,"written"
1383,"anyway"
1383,"learned"
1382,"example"
1376,"message"
1375,"type"
1374,"became"
1373,"training"
1372,"listening"
1371,"note"
1368,"learning"
1366,"eating"
1366,"extra"
1366,"tired"
1364,"david"
1363,"upon"
1362,"earlier"
1362,"fresh"
1360,"sister"
1359,"itself"
1356,"afternoon"
1356,"bought"
1356,"mark"
1356,"player"
1355,"sitting"
1354,"pass"
1347,"paul"
1346,"table"
1344,"doesn"
1343,"photo"
1343,"washington"
1340,"chocolate"
1339,"view"
1333,"dr"
1333,"earth"
1332,"include"
1330,"wear"
1329,"lord"
1328,"events"
1327,"pain"
1326,"complete"
1325,"gift"
1321,"provide"
1319,"evening"
1316,"vote"
1315,"eye"
1313,"east"
1312,"minute"
1312,"plus"
1311,"album"
1311,"clean"
1311,"wrote"
1310,"opening"
1309,"track"
1303,"deep"
1303,"tweets"
1301,"opportunity"
1298,"decision"
1297,"certain"
1296,"campaign"
1296,"key"
1295,"details"
1294,"thoughts"
1293,"lose"
1293,"ohio"
1293,"received"
1293,"sick"
1291,"figure"
1291,"practice"
1290,"followed"
1288,"straight"
1288,"study"
1287,"football"
1286,"ice"
1285,"finish"
1283,"test"
1282,"quickly"
1281,"rain"
1276,"moved"
1275,"safe"
1274,"chicken"
1274,"tickets"
1273,"current"
1272,"expected"
1271,"died"
1270,"photos"
1269,"interested"
1267,"term"
1266,"ground"
1264,"beach"
1264,"difficult"
1264,"feels"
1263,"united"
1262,"created"
1259,"june"
1258,"despite"
1256,"link"
1254,"serious"
1254,"student"
1252,"catch"
1252,"james"
1252,"wall"
1250,"daily"
1250,"focus"
1249,"article"
1246,"starts"
1245,"further"
1245,"relationship"
1242,"changed"
1240,"bowl"
1240,"de"
1240,"member"
1239,"double"
1238,"cream"
1237,"proud"
1236,"interest"
1232,"choose"
1232,"original"
1230,"truly"
1227,"absolutely"
1227,"trust"
1224,"release"
1224,"sit"
1223,"loss"
1222,"speak"
1221,"lovely"
1220,"enjoyed"
1216,"walking"
1215,"tour"
1214,"king"
1213,"league"
1211,"jersey"
1211,"mention"
1210,"fear"
1210,"floor"
1208,"dude"
1208,"gives"
1208,"shop"
1207,"beginning"
1206,"begin"
1201,"happens"
1201,"present"
1201,"version"
1200,"paid"
1200,"staff"
1199,"songs"
1199,"sports"
1198,"lady"
1198,"places"
1197,"wearing"
1196,"scene"
1195,"companies"
1192,"born"
1191,"industry"
1189,"account"
1188,"library"
1188,"ride"
1188,"stage"
1187,"data"
1187,"internet"
1187,"natural"
1186,"whose"
1184,"sales"
1182,"involved"
1181,"role"
1180,"press"
1179,"forever"
1179,"leaving"
1177,"california"
1176,"radio"
1174,"certainly"
1174,"total"
1172,"development"
1169,"changes"
1169,"quick"
1169,"sort"
1168,"international"
1168,"seven"
1166,"performance"
1165,"taste"
1164,"budget"
1164,"kept"
1162,"amount"
1160,"michael"
1159,"warm"
1157,"reality"
1156,"worst"
1155,"below"
1154,"blood"
1154,"society"
1151,"cake"
1150,"position"
1149,"teacher"
1148,"cheese"
1146,"via"
1143,"hurt"
1142,"expect"
1140,"fair"
1138,"higher"
1138,"security"
1135,"allow"
1135,"force"
1131,"smile"
1130,"passed"
1129,"ahead"
1129,"characters"
1129,"spot"
1128,"poor"
1128,"sat"
1127,"putting"
1127,"similar"
1126,"cant"
1126,"private"
1126,"restaurant"
1125,"land"
1125,"quality"
1124,"fit"
1124,"winter"
1123,"apparently"
1120,"growing"
1120,"review"
1119,"telling"
1118,"seemed"
1118,"situation"
1116,"contact"
1115,"driving"
1115,"english"
1115,"hospital"
1115,"miles"
1113,"common"
1113,"nd"
1113,"products"
1111,"lucky"
1111,"sugar"
1110,"mix"
1110,"size"
1109,"winning"
1108,"beyond"
1108,"computer"
1108,"july"
1108,"title"
1107,"cards"
1107,"teams"
1106,"planning"
1106,"touch"
1105,"financial"
1104,"hopefully"
1098,"missing"
1097,"comment"
1096,"kitchen"
1094,"fell"
1093,"difference"
1093,"google"
1092,"led"
1091,"result"
1090,"sale"
1089,"watched"
1088,"consider"
1087,"council"
1086,"build"
1085,"calls"
1085,"nation"
1085,"released"
1085,"spending"
1083,"dear"
1083,"interview"
1081,"meant"
1077,"cleveland"
1076,"hotel"
1074,"author"
1074,"judge"
1071,"bank"
1071,"except"
1071,"realize"
1069,"hello"
1069,"imagine"
1067,"image"
1066,"anymore"
1066,"billion"
1065,"ended"
1063,"mostly"
1063,"supposed"
1061,"chris"
1059,"appreciate"
1058,"everybody"
1057,"hoping"
1055,"weight"
1053,"dress"
1053,"shopping"
1053,"weird"
1050,"average"
1049,"peace"
1047,"helped"
1046,"pieces"
1046,"rights"
1045,"movies"
1042,"period"
1040,"hall"
1040,"till"
1039,"texas"
1038,"projects"
1036,"nature"
1036,"value"
1033,"travel"
1032,"bro"
1032,"holiday"
1032,"recipe"
1031,"named"
1028,"allowed"
1027,"hearing"
1027,"loves"
1026,"grow"
1026,"medical"
1025,"biggest"
1024,"snow"
1023,"faith"
1023,"product"
1023,"reach"
1022,"sharing"
1022,"tough"
1021,"breakfast"
1020,"asking"
1020,"garden"
1020,"workers"
1017,"ran"
1015,"calling"
1012,"french"
1011,"glass"
1010,"language"
1010,"sell"
1010,"tea"
1009,"info"
1009,"mad"
1005,"positive"
1001,"chief"
1001,"ill"
1000,"trade"
999,"killed"
998,"technology"
998,"worry"
997,"louis"
996,"session"
995,"results"
994,"bottom"
992,"folks"
992,"liked"
992,"runs"
992,"sold"
